Municipio,Provincia,Población,Superficie (km²),Altitud (m s.n.m.)
Campillo de Dueñas,Guadalajara,80,60.63,
Canredondo,Guadalajara,76,63.52,
Castellar de la Muela,Guadalajara,27,21.38,
Castilnuevo,Guadalajara,6,19.54,
Checa,Guadalajara,286,181.43,
Chequilla,Guadalajara,16,15.3,
Ciruelos del Pinar,Guadalajara,24,16.8,
Cobeta,Guadalajara,108,43.59,
Corduente,Guadalajara,324,232.92,
Embid,Guadalajara,28,36.2,
Esplegares,Guadalajara,33,37.45,
Establés,Guadalajara,29,52.27,
Fuembellida,Guadalajara,12,26.05,
Fuentelsaz,Guadalajara,88,40.41,
Herrería,Guadalajara,24,19.14,
Hombrados,Guadalajara,45,37.84,
Huertahernando,Guadalajara,57,51.32,
Iniéstola,Guadalajara,22,10.05,
Luzaga,Guadalajara,65,29.7,
Luzón,Guadalajara,65,56.98,
Maranchón,Guadalajara,225,153.32,
Mazarete,Guadalajara,24,56.17,
Megina,Guadalajara,36,27.89,
Milmarcos,Guadalajara,70,43.91,
Mochales,Guadalajara,38,32.32,
Molina de Aragón,Guadalajara,3234,168.33,
Morenilla,Guadalajara,52,28.37,
Ocentejo,Guadalajara,16,30.95,
Olmeda de Cobeta,Guadalajara,59,39.62,
Orea,Guadalajara,189,71.25,
Pardos,Guadalajara,39,23.15,
"Pedregal, El",Guadalajara,63,23.2,
Peñalén,Guadalajara,78,59.18,
Peralejos de las Truchas,Guadalajara,149,70.76,
Pinilla de Molina,Guadalajara,12,23.18,
Piqueras,Guadalajara,42,32.31,
"Pobo de Dueñas, El",Guadalajara,101,55.28,
Poveda de la Sierra,Guadalajara,116,51.7,
Prados Redondos,Guadalajara,54,53.43,
"Recuenco, El",Guadalajara,61,75.18,
Riba de Saelices,Guadalajara,115,66.68,
Rillo de Gallo,Guadalajara,47,25.9,
Rueda de la Sierra,Guadalajara,41,51.01,
Saelices de la Sal,Guadalajara,48,19.37,
Selas,Guadalajara,40,44.82,
Setiles,Guadalajara,86,56.77,
Taravilla,Guadalajara,33,60.68,
Tartanedo,Guadalajara,147,148.29,
Terzaga,Guadalajara,20,33.81,
Tierzo,Guadalajara,36,40.06,
Tordellego,Guadalajara,49,33.47,
Tordesilos,Guadalajara,93,46.49,
Torrecuadrada de Molina,Guadalajara,21,35.8,
Torrecuadradilla,Guadalajara,28,32.88,
Torremocha del Pinar,Guadalajara,40,50.47,
Torremochuela,Guadalajara,8,17.82,
Torrubia,Guadalajara,23,28.18,
Tortuera,Guadalajara,181,82.21,
Traíd,Guadalajara,24,48.59,
Valhermoso,Guadalajara,26,29.09,
Valtablado del Río,Guadalajara,8,25.21,
Villanueva de Alcorón,Guadalajara,135,99.17,
Villel de Mesa,Guadalajara,173,37.07,
"Yunta, La",Guadalajara,90,56.19,
Zaorejas,Guadalajara,101,189.14,
Cabezamesada,Toledo,319,59.83,733
Camuñas,Toledo,1742,102.03,667
Corral de Almaguer,Toledo,4827,328.7,701
Madridejos,Toledo,10202,262.01,687
Miguel Esteban,Toledo,4791,92.96,681
"Puebla de Almoradiel, La",Toledo,4953,106.13,697
Quero,Toledo,985,104.38,650
